"","subj","description","dec","g1p1","g1o1","g1o2","g2p1","g2o1","g2o2","r_aprob1","r_aout1","r_aprob2","r_aout2","r_bprob1","r_bout1","r_bprob2","r_bout2","exp","exclude","decision_overweighting","overweight","samples","outcome_explic","trial","age","female","targets","g1p2","g2p2","reduced","reduced_zero","reduced_out"
"70",1003,0,1,0.35,1.2,16.7,0.9,8.7,1.6,0.416666656732559,1.2,0.583333313465118,16.7,0.846153855323792,8.7,0.15384615957737,1.6,1,0,1,1,25,NA,22,21,1,1,0.65,0.1,0,0,0
"71",1003,0,2,0.08,0.4,8.4,0.39,8.6,13.1,0.125,0.4,0.875,8.4,0.222222223877907,8.6,0.777777791023254,13.1,1,0,2,1,25,NA,16,21,1,1,0.92,0.61,0,0,0
"72",1003,0,1,0.4,24.4,3.5,0.05,0.1,9.3,0.444444447755814,24.4,0.555555582046509,3.5,0.0384615398943424,0.1,0.961538434028625,9.3,1,0,1,1,53,NA,44,21,1,1,0.6,0.95,0,0,0
"73",1003,0,2,0.09,6.1,12.7,0.43,10,7.2,0.0750000029802322,6.1,0.925000011920929,12.7,0.28571429848671,10,0.714285731315613,7.2,1,0,2,1,54,NA,41,21,1,1,0.91,0.57,0,0,0
"74",1003,0,1,0.47,9.8,13.7,0.08,1.7,8.8,0.434782594442368,9.8,0.56521737575531,13.7,0.0399999991059303,1.7,0.959999978542328,8.8,1,0,1,1,48,NA,51,21,1,1,0.53,0.92,0,0,0
"75",1003,0,2,0.93,12.3,0.7,0.54,9,7.3,0.92592591047287,12.3,0.0740740746259689,0.7,0.444444447755814,9,0.555555582046509,7.3,1,0,2,1,36,NA,49,21,1,1,0.07,0.46,0,0,0
"76",1003,0,2,0.56,2.3,16,0.05,6.1,12.5,0.360000014305115,2.3,0.639999985694885,16,0.03125,6.1,0.96875,12.5,1,0,1,0,57,NA,39,21,1,1,0.44,0.95,0,0,0
"77",1003,0,1,0.09,1.5,12.5,0.61,12.7,0.1,0.0789473652839661,1.5,0.921052634716034,12.5,0.5,12.7,0.5,0.1,1,0,2,0,44,NA,24,21,1,1,0.91,0.39,0,0,0
"78",1003,0,2,0.39,2.3,12.2,0.94,12.2,3.7,0.75,2.3,0.25,12.2,0.947368443012238,12.2,0.0526315793395042,3.7,1,0,1,0,27,NA,25,21,1,1,0.61,0.06,0,0,0
"79",1003,0,1,0.52,13,10.3,0.06,1.7,8.4,0.466666668653488,13,0.533333361148834,10.3,0.0416666679084301,1.7,0.958333313465118,8.4,1,0,1,1,39,NA,37,21,1,1,0.48,0.94,0,0,0
"80",1003,0,1,0.39,6.1,15,0.4,18.2,1.7,0.5,6.1,0.5,15,0.600000023841858,18.2,0.400000005960464,1.7,1,1,0,NA,17,NA,54,21,1,0,0.61,0.6,0,0,0
"81",1003,0,2,0.53,15.6,0.6,0.36,2.4,18,0.5,15.6,0.5,0.6,0.454545468091965,2.4,0.545454561710358,18,1,1,0,NA,31,NA,19,21,1,0,0.47,0.64,0,0,0
"82",1003,0,1,0.6,1,27.2,0.62,4.7,12.3,0.684210538864136,1,0.315789461135864,27.2,0.333333343267441,4.7,0.666666686534882,12.3,1,1,0,NA,25,NA,48,21,1,0,0.4,0.38,0,0,0
"83",1003,0,1,0.5,12.9,11.4,0.5,4.1,13.4,0.636363625526428,12.9,0.363636374473572,11.4,0.600000023841858,4.1,0.400000005960464,13.4,1,1,0,NA,16,NA,28,21,1,0,0.5,0.5,0,0,0
"84",1003,0,2,0.46,3.7,11.9,0.45,11.1,11.5,0.200000002980232,3.7,0.800000011920929,11.9,0.666666686534882,11.1,0.333333343267441,11.5,1,1,0,NA,14,NA,57,21,1,0,0.54,0.55,0,0,0
"85",1003,0,2,0.45,12.5,5.2,0.52,11.8,11.9,0.439999997615814,12.5,0.560000002384186,5.2,0.625,11.8,0.375,11.9,1,1,0,NA,33,NA,30,21,1,0,0.55,0.48,0,0,0
"86",1003,0,1,0.51,21.3,1.5,0.64,12.7,0.1,0.375,21.3,0.625,1.5,0.625,12.7,0.375,0.1,1,1,0,NA,24,NA,8,21,1,0,0.49,0.36,0,0,0
"87",1003,0,2,0.36,2.9,11.1,0.36,17.9,7.8,0.235294118523598,2.9,0.764705896377563,11.1,0.363636374473572,17.9,0.636363625526428,7.8,1,1,0,NA,39,NA,20,21,1,0,0.64,0.64,0,0,0
"88",1003,0,2,0.4,18.5,2.4,0.51,16.7,7.2,0.4375,18.5,0.5625,2.4,0.5,16.7,0.5,7.2,1,1,0,NA,24,NA,17,21,1,0,0.6,0.49,0,0,0
"89",1003,0,1,0.49,1,22.8,0.64,0.1,24.3,0.15384615957737,1,0.846153855323792,22.8,0.636363625526428,0.1,0.363636374473572,24.3,1,1,0,NA,24,NA,10,21,1,0,0.51,0.36,0,0,0
"90",1003,0,1,0.07,24.4,9,0.42,5.8,12.8,0.0416666679084301,24.4,0.958333313465118,9,0.600000023841858,5.8,0.400000005960464,12.8,1,0,1,1,53,NA,34,21,1,1,0.93,0.58,0,0,0
"91",1003,0,2,0.57,12.3,7.3,0.1,29.4,8,0.461538463830948,12.3,0.538461565971375,7.3,0.0909090936183929,29.4,0.909090936183929,8,1,0,2,1,24,NA,46,21,1,1,0.43,0.9,0,0,0
"92",1003,0,1,0.94,9.6,22.9,0.43,12.1,8.7,0.875,9.6,0.125,22.9,0.571428596973419,12.1,0.428571432828903,8.7,1,0,1,1,15,NA,3,21,1,1,0.06,0.57,0,0,0
"93",1003,0,1,0.91,8.7,18.3,0.46,15.5,5.2,0.941176474094391,8.7,0.0588235296308994,18.3,0.352941185235977,15.5,0.647058844566345,5.2,1,0,1,1,51,NA,42,21,1,1,0.09,0.54,0,0,0
"94",1003,0,1,0.09,26.5,8.3,0.36,1.9,15,0.200000002980232,26.5,0.800000011920929,8.3,0.400000005960464,1.9,0.600000023841858,15,1,0,1,1,30,NA,7,21,1,1,0.91,0.64,0,0,0
"95",1003,0,1,0.91,8.6,22.7,0.43,5.5,13.2,0.785714268684387,8.6,0.214285716414452,22.7,0.571428596973419,5.5,0.428571432828903,13.2,1,0,1,1,21,NA,11,21,1,1,0.09,0.57,0,0,0
"96",1003,0,1,0.92,9,18.2,0.48,5.3,13.3,0.857142865657806,9,0.142857149243355,18.2,0.400000005960464,5.3,0.600000023841858,13.3,1,0,1,1,17,NA,33,21,1,1,0.08,0.52,0,0,0
"97",1003,0,1,0.35,5.4,13.2,0.92,8.8,24.2,0.448275864124298,5.4,0.551724135875702,13.2,0.941176474094391,8.8,0.0588235296308994,24.2,1,0,2,0,46,NA,53,21,1,1,0.65,0.08,0,0,0
"98",1003,0,2,0.91,9,21.3,0.45,13.2,8.4,1,9,0,21.3,0.333333343267441,13.2,0.666666686534882,8.4,1,0,1,0,26,NA,1,21,1,1,0.09,0.55,0,0,0
"99",1003,0,1,0.08,1,10.7,0.45,20.3,1.9,0.100000001490116,1,0.899999976158142,10.7,0.454545468091965,20.3,0.545454561710358,1.9,1,0,2,0,31,NA,15,21,1,1,0.92,0.55,0,0,0
"100",1003,0,2,0.65,1.2,27.5,0.06,2.9,10.6,0.857142865657806,1.2,0.142857149243355,27.5,0.0714285746216774,2.9,0.928571403026581,10.6,1,0,1,0,28,NA,35,21,1,1,0.35,0.94,0,0,0
"101",1003,0,1,0.4,14.8,6,0.09,1.4,10.3,0.448275864124298,14.8,0.551724135875702,6,0.0769230797886848,1.4,0.923076927661896,10.3,1,0,1,1,42,NA,58,21,1,1,0.6,0.91,0,0,0
"102",1003,0,2,0.06,0.4,11.2,0.53,2.8,18.3,0.0769230797886848,0.4,0.923076927661896,11.2,0.363636374473572,2.8,0.636363625526428,18.3,1,0,2,1,24,NA,6,21,1,1,0.94,0.47,0,0,0
"103",1003,0,2,0.08,0.5,10.8,0.57,2.1,19.9,0.0666666701436043,0.5,0.933333337306976,10.8,0.428571432828903,2.1,0.571428596973419,19.9,1,0,2,1,22,NA,27,21,1,1,0.92,0.43,0,0,0
"104",1003,0,2,0.47,4.4,14.2,0.08,2.2,10.2,0.615384638309479,4.4,0.384615391492844,14.2,0.0588235296308994,2.2,0.941176474094391,10.2,1,0,1,0,30,NA,31,21,1,1,0.53,0.92,0,0,0
"105",1003,0,1,0.57,5.5,16.2,0.05,2.7,10.6,0.583333313465118,5.5,0.416666656732559,16.2,0.16666667163372,2.7,0.833333313465118,10.6,1,0,1,1,18,NA,50,21,1,1,0.43,0.95,0,0,0
"106",1003,0,2,0.37,1.1,14.9,0.92,9.8,4.3,0.136363640427589,1.1,0.863636374473572,14.9,0.941176474094391,9.8,0.0588235296308994,4.3,1,0,1,0,39,NA,36,21,1,1,0.63,0.08,0,0,0
"107",1003,0,1,0.63,5.9,17.5,0.65,3.9,21.8,0.631578922271729,5.9,0.368421047925949,17.5,0.89473682641983,3.9,0.105263158679008,21.8,1,1,0,NA,38,NA,29,21,1,0,0.37,0.35,0,0,0
"108",1003,0,1,0.62,6.6,14.8,0.4,13.3,7.4,0.677419364452362,6.6,0.322580635547638,14.8,0.125,13.3,0.875,7.4,1,1,0,NA,39,NA,43,21,1,0,0.38,0.6,0,0,0
"109",1003,0,1,0.34,27.9,0.2,0.47,0.2,18.1,0.322580635547638,27.9,0.677419364452362,0.2,0.428571432828903,0.2,0.571428596973419,18.1,1,1,0,NA,45,NA,45,21,1,0,0.66,0.53,0,0,0
"110",1003,0,1,0.45,10.6,9.7,0.55,13.8,6.2,0.333333343267441,10.6,0.666666686534882,9.7,0.400000005960464,13.8,0.600000023841858,6.2,1,1,0,NA,14,NA,2,21,1,0,0.55,0.45,0,0,0
"111",1003,0,2,0.54,4.7,16.2,0.52,1.2,20,0.5,4.7,0.5,16.2,0.363636374473572,1.2,0.636363625526428,20,1,1,0,NA,33,NA,18,21,1,0,0.46,0.48,0,0,0
"112",1003,0,1,0.37,22,2.5,0.37,20.6,3.8,0.428571432828903,22,0.571428596973419,2.5,0.100000001490116,20.6,0.899999976158142,3.8,1,1,0,NA,45,NA,56,21,1,0,0.63,0.63,0,0,0
"113",1003,0,1,0.45,7.6,11.5,0.42,20.2,1.9,0.181818187236786,7.6,0.818181812763214,11.5,0.5,20.2,0.5,1.9,1,1,0,NA,21,NA,14,21,1,0,0.55,0.58,0,0,0
"114",1003,0,2,0.64,12.8,3.2,0.64,4.5,18.9,0.578947365283966,12.8,0.421052634716034,3.2,0.6875,4.5,0.3125,18.9,1,1,0,NA,35,NA,23,21,1,0,0.36,0.36,0,0,0
"115",1003,0,2,0.56,2.7,19,0.64,9.8,10.1,0.800000011920929,2.7,0.200000002980232,19,0.875,9.8,0.125,10.1,1,1,0,NA,18,NA,9,21,1,0,0.44,0.36,0,0,0
"116",1003,0,1,0.53,11.1,8.4,0.43,16.2,4.3,0.666666686534882,11.1,0.333333343267441,8.4,0.5,16.2,0.5,4.3,1,1,0,NA,24,NA,59,21,1,0,0.47,0.57,0,0,0
