"subject" "problem" "trial" "option" "outcome"
"585" "10" 1 10 0 4
"586" "10" 1 11 1 3
"559" "10" 2 1 0 -3
"560" "10" 2 2 0 -3
"561" "10" 2 3 1 0
"562" "10" 2 4 1 -32
"563" "10" 2 5 1 0
"564" "10" 2 6 1 -32
"565" "10" 2 7 1 0
"566" "10" 2 8 0 -3
"567" "10" 2 9 0 -3
"568" "10" 2 10 0 -3
"569" "10" 2 11 1 0
"570" "10" 2 12 1 0
"571" "10" 2 13 1 0
"572" "10" 2 14 0 -3
"573" "10" 2 15 1 0
"602" "10" 3 1 0 -3
"603" "10" 3 2 0 -3
"604" "10" 3 3 0 -3
"605" "10" 3 4 1 -4
"606" "10" 3 5 1 -4
"607" "10" 3 6 0 -3
"608" "10" 3 7 1 -4
"609" "10" 3 8 1 -4
"610" "10" 3 9 0 -3
"611" "10" 3 10 1 -4
"612" "10" 3 11 0 -3
"613" "10" 3 12 1 -4
"614" "10" 3 13 1 -4
"615" "10" 3 14 0 -3
"616" "10" 3 15 1 -4
"617" "10" 3 16 1 -4
"618" "10" 3 17 0 -3
"619" "10" 3 18 0 -3
"587" "10" 4 1 0 0
"588" "10" 4 2 1 3
"589" "10" 4 3 0 0
"590" "10" 4 4 1 3
"591" "10" 4 5 1 3
"592" "10" 4 6 0 0
"593" "10" 4 7 1 3
"594" "10" 4 8 0 0
"595" "10" 4 9 0 32
"596" "10" 4 10 0 0
"597" "10" 4 11 0 0
"598" "10" 4 12 1 3
"599" "10" 4 13 1 3
"763" "11" 1 1 0 4
"764" "11" 1 2 1 3
"749" "11" 2 1 0 -3
"750" "11" 2 2 1 0
"751" "11" 2 3 1 0
"752" "11" 2 4 0 -3
"753" "11" 2 5 1 0
"766" "11" 3 1 0 -3
"767" "11" 3 2 1 0
"759" "11" 4 1 0 0
"760" "11" 4 2 1 3
"645" "12" 1 1 0 4
"646" "12" 1 2 1 3
"643" "12" 2 1 0 -3
"644" "12" 2 2 1 0
"663" "12" 3 1 1 0
"664" "12" 3 2 0 -3
"650" "12" 4 1 0 0
"651" "12" 4 2 1 3
"1025" "13" 1 1 1 3
"1026" "13" 1 2 0 0
"1027" "13" 1 3 1 3
"1028" "13" 1 4 0 4
"1029" "13" 1 5 1 3
"1030" "13" 1 6 0 4
"1053" "13" 2 1 0 -3
"1054" "13" 2 2 1 -32
"1055" "13" 2 3 0 -3
"1056" "13" 2 4 1 0
"1057" "13" 2 5 0 -3
"1058" "13" 2 6 1 0
"1059" "13" 2 7 0 -3
"1060" "13" 2 8 1 0
"1061" "13" 2 9 0 -3
"1062" "13" 2 10 1 0
"1063" "13" 2 11 0 -3
"1064" "13" 2 12 1 0
"1065" "13" 2 13 0 -3
"1066" "13" 2 14 1 0
"1031" "13" 3 1 0 -3
"1032" "13" 3 2 1 0
"1033" "13" 3 3 0 -3
"1034" "13" 3 4 1 -4
"1035" "13" 3 5 0 -3
"1036" "13" 3 6 1 -4
"1037" "13" 3 7 0 -3
"1038" "13" 4 1 1 3
"1039" "13" 4 2 0 0
"1040" "13" 4 3 1 3
"1041" "13" 4 4 0 0
"1042" "13" 4 5 1 3
"826" "14" 1 1 0 4
"827" "14" 1 2 0 4
"828" "14" 1 3 1 3
"829" "14" 1 4 1 3
"830" "14" 1 5 1 3
"831" "14" 1 6 1 3
"832" "14" 1 7 1 3
"833" "14" 1 8 0 4
"834" "14" 1 9 0 4
"835" "14" 1 10 0 4
"836" "14" 1 11 0 0
"837" "14" 1 12 0 4
"838" "14" 1 13 0 4
"839" "14" 1 14 0 4
"840" "14" 1 15 0 4
"841" "14" 1 16 1 3
"842" "14" 1 17 1 3
"843" "14" 1 18 1 3
"844" "14" 1 19 1 3
"845" "14" 1 20 1 3
"846" "14" 1 21 1 3
"847" "14" 1 22 1 3
"848" "14" 1 23 1 3
