,cond_color,probvar,cost,choseH,subject,mn_ss
176,diff,high,low,1,186,4.5
177,diff,high,low,1,188,7.2
178,diff,high,low,1,190,1.5
179,diff,high,low,1,195,18.5
180,diff,high,low,1,199,14.75
181,diff,high,low,1,200,27.5
182,diff,high,low,1,201,13.6
183,diff,high,low,1,204,8.5
184,diff,high,low,1,206,16.1666666667
185,diff,high,low,1,207,4.5
186,diff,high,low,1,210,21.0
187,diff,high,low,1,213,15.2
188,diff,high,low,1,215,8.4
189,diff,high,low,1,216,6.0
190,diff,low,high,0,91,1.0
191,diff,low,high,0,98,2.0
192,diff,low,high,0,105,1.66666666667
193,diff,low,high,0,111,1.0
194,diff,low,high,0,114,2.66666666667
195,diff,low,high,0,115,1.0
196,diff,low,high,0,117,2.0
197,diff,low,high,0,129,2.0
198,diff,low,high,0,134,1.0
199,diff,low,high,0,138,1.0
200,diff,low,high,0,142,1.0
201,diff,low,high,0,143,3.33333333333
202,diff,low,high,0,150,2.5
203,diff,low,high,0,152,10.0
204,diff,low,high,0,158,1.0
205,diff,low,high,0,161,1.0
206,diff,low,high,0,162,3.0
207,diff,low,high,0,169,6.0
208,diff,low,high,0,174,1.0
209,diff,low,high,0,177,6.0
210,diff,low,high,0,178,6.0
211,diff,low,high,0,183,1.0
212,diff,low,high,0,184,1.0
213,diff,low,high,0,186,1.0
214,diff,low,high,0,190,1.33333333333
215,diff,low,high,0,195,11.0
216,diff,low,high,0,199,1.0
217,diff,low,high,0,200,4.0
218,diff,low,high,0,204,1.0
219,diff,low,high,0,207,1.0
220,diff,low,high,0,210,2.0
221,diff,low,high,0,213,2.0
222,diff,low,high,1,91,2.25
223,diff,low,high,1,94,4.66666666667
224,diff,low,high,1,98,4.0
225,diff,low,high,1,99,2.66666666667
226,diff,low,high,1,101,4.0
227,diff,low,high,1,103,4.16666666667
228,diff,low,high,1,105,2.0
229,diff,low,high,1,109,3.83333333333
230,diff,low,high,1,111,1.75
231,diff,low,high,1,114,4.0
232,diff,low,high,1,115,1.5
233,diff,low,high,1,117,3.2
234,diff,low,high,1,120,2.0
235,diff,low,high,1,128,2.0
236,diff,low,high,1,129,2.0
237,diff,low,high,1,134,6.0
238,diff,low,high,1,135,2.83333333333
239,diff,low,high,1,138,4.4
240,diff,low,high,1,139,6.66666666667
241,diff,low,high,1,142,1.0
242,diff,low,high,1,143,4.0
243,diff,low,high,1,146,3.66666666667
244,diff,low,high,1,150,3.0
245,diff,low,high,1,152,4.4
