"subject" "problem" "trial" "option" "outcome"
"536" 32 6 27 0 0
"537" 32 6 28 0 0
"538" 32 6 29 0 0
"539" 32 6 30 0 0
"540" 32 6 31 0 0
"541" 32 6 32 0 0
"542" 32 6 33 0 0
"543" 32 6 34 0 0
"544" 32 6 35 0 0
"545" 32 6 36 0 0
"546" 32 6 37 0 0
"547" 32 6 38 0 0
"548" 32 6 39 0 0
"549" 32 6 40 0 0
"550" 32 6 41 0 0
"551" 32 6 42 0 0
"552" 32 6 43 0 0
"553" 32 6 44 0 0
"554" 32 6 45 0 0
"555" 32 6 46 0 0
"556" 32 6 47 0 0
"557" 32 6 48 1 3
"558" 32 6 49 1 0
"559" 32 6 50 1 3
"560" 32 6 51 1 3
"561" 32 6 52 1 0
"562" 32 6 53 0 0
"563" 32 6 54 0 0
"564" 32 6 55 0 0
"565" 32 6 56 0 0
"756" 33 1 1 1 3
"757" 33 1 2 0 4
"758" 33 1 3 1 3
"759" 33 1 4 0 4
"760" 33 1 5 1 3
"761" 33 1 6 0 0
"762" 33 1 7 1 3
"763" 33 1 8 0 4
"764" 33 1 9 1 3
"765" 33 1 10 0 4
"766" 33 1 11 1 3
"767" 33 1 12 0 4
"768" 33 1 13 1 3
"769" 33 1 14 0 4
"727" 33 2 1 1 3
"728" 33 2 2 0 4
"729" 33 2 3 1 3
"730" 33 2 4 0 0
"731" 33 2 5 1 0
"732" 33 2 6 0 0
"733" 33 2 7 1 0
"734" 33 2 8 0 0
"735" 33 2 9 1 3
"736" 33 2 10 0 0
"737" 33 2 11 1 0
"738" 33 2 12 0 0
"739" 33 2 13 1 0
"740" 33 2 14 0 0
"741" 33 2 15 1 0
"742" 33 2 16 1 0
"743" 33 2 17 1 3
"744" 33 2 18 1 3
"745" 33 2 19 1 0
"746" 33 2 20 1 0
"747" 33 2 21 1 0
"748" 33 2 22 1 0
"749" 33 2 23 0 0
"750" 33 2 24 0 0
"751" 33 2 25 0 4
"752" 33 2 26 0 4
"753" 33 2 27 0 0
"754" 33 2 28 0 0
"755" 33 2 29 0 4
"667" 33 3 1 0 -3
"668" 33 3 2 1 0
"669" 33 3 3 0 -3
"670" 33 3 4 1 0
"671" 33 3 5 0 -3
"672" 33 3 6 1 0
"673" 33 3 7 0 -3
"674" 33 3 8 1 -32
"675" 33 3 9 0 -3
"676" 33 3 10 1 0
"677" 33 3 11 0 -3
"678" 33 3 12 1 0
"679" 33 3 13 0 -3
"680" 33 3 14 1 0
"681" 33 3 15 0 -3
"682" 33 3 16 1 0
"683" 33 3 17 0 -3
"684" 33 3 18 1 -32
"685" 33 3 19 0 -3
"686" 33 3 20 1 0
"687" 33 3 21 0 -3
"688" 33 3 22 1 -32
"705" 33 4 1 0 -3
"706" 33 4 2 1 0
"707" 33 4 3 0 -3
"708" 33 4 4 1 -4
"709" 33 4 5 0 -3
"710" 33 4 6 1 0
"711" 33 4 7 0 -3
"712" 33 4 8 1 -4
"713" 33 4 9 0 -3
"714" 33 4 10 1 -4
"715" 33 4 11 0 -3
"716" 33 4 12 1 -4
"717" 33 4 13 0 -3
"718" 33 4 14 1 -4
"719" 33 4 15 0 -3
"720" 33 4 16 1 0
"721" 33 4 17 0 -3
"722" 33 4 18 1 -4
"723" 33 4 19 0 -3
"724" 33 4 20 1 -4
"725" 33 4 21 0 -3
"726" 33 4 22 1 -4
"648" 33 5 1 1 3
"649" 33 5 2 1 3
